model_path,model_id,revision,param_name,layer_index,block_type,shape,rows,cols,design_rank,actual_rank,rank_ratio,svd_90_percent_rank,svd_90_percent_ratio,mean,std,var,min,max,sparsity,dtype,created_at
data/models,Qwen/Qwen3-4B,,model.embed_tokens.weight,,embedding,"(151936, 2560)",151936,2560,2560,2560,1.0,2085,0.814453125,2.934154326794669e-05,0.021953115239739418,0.00048193923430517316,-0.2216796875,0.25,3.882185591301601e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.0.input_layernorm.weight,,norm,"(2560,)",1,2560,1,1,1.0,1,1.0,0.02340083196759224,0.009662151336669922,9.335716458735988e-05,-0.08154296875,0.1923828125,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.0.mlp.down_proj.weight,,other,"(2560, 9728)",2560,9728,2560,2560,1.0,1836,0.7171875,-8.339846317539923e-06,0.023275142535567284,0.0005417322972789407,-0.5546875,0.578125,4.417017886513158e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.0.mlp.gate_proj.weight,,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1445,0.564453125,7.90079684520606e-06,0.023627614602446556,0.00055826420430094,-0.439453125,0.53125,3.212376644736842e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.0.mlp.up_proj.weight,,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1523,0.594921875,-2.3873230929893907e-06,0.02205617167055607,0.00048647468793205917,-0.34375,0.306640625,5.621659128289473e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.0.post_attention_layernorm.weight,,norm,"(2560,)",1,2560,1,1,1.0,1,1.0,0.20728392899036407,0.03860114514827728,0.0014900484820827842,-0.130859375,0.3671875,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.0.self_attn.k_norm.weight,,norm,"(128,)",1,128,1,1,1.0,1,1.0,2.349405288696289,3.9107189178466797,15.293722152709961,-0.014404296875,44.0,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.0.self_attn.k_proj.weight,,k_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,641,0.6259765625,1.2248451639607083e-05,0.024575941264629364,0.0006039768923074007,-0.27734375,0.25,3.814697265625e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.0.self_attn.o_proj.weight,,o_proj,"(2560, 4096)",2560,4096,2560,2560,1.0,1435,0.560546875,-6.074184966564644e-06,0.021706217899918556,0.0004711599030997604,-0.51953125,0.515625,3.814697265625e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.0.self_attn.q_norm.weight,,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.7929494380950928,0.600058376789093,0.36007004976272583,-0.01165771484375,3.75,0.0,float32,2025-09-02T08:17:32.635882
